---,Level,TotalExperience,AdditionalExperience,MaxAbilityLevel,MaxUtlimateLevel
1,1,0,201,0,0
2,2,201,295,1,0
3,3,496,409,1,0
4,4,905,539,2,0
5,5,1444,679,2,0
6,6,2123,821,3,1
7,7,2944,955,3,1
8,8,3899,1075,4,1
9,9,4974,1174,4,1
10,10,6148,1251,5,1
11,11,7399,1306,5,1
12,12,8705,1340,6,2
13,13,10045,1358,6,2
14,14,11403,1364,7,2
15,15,12767,1365,7,2
16,16,14132,1366,8,2
17,17,15498,1373,8,2
18,18,16871,1391,9,3
19,19,18262,1427,9,3
20,20,19689,1490,10,3
21,21,21179,1587,10,3
22,22,22766,1734,11,3
23,23,24500,1951,11,3
24,24,26451,2270,12,4
25,25,28721,2742,12,4
26,26,31463,3454,13,4
27,27,34917,4557,13,4
28,28,39474,6320,14,4
29,29,45794,9255,14,4
30,30,55049,0,15,5
